event,date,fighter,opponent,weight_class,outcome,method
UFC 28: High Stakes,2000-11-17,Randy Couture,Kevin Randleman,Heavyweight,win,KO/TKO
UFC 28: High Stakes,2000-11-17,Josh Barnett,Gan McGee,Super Heavyweight,win,KO/TKO
UFC 28: High Stakes,2000-11-17,Renato Sobral,Maurice Smith,Heavyweight,win,M-DEC
UFC 28: High Stakes,2000-11-17,Jens Pulver,John Lewis,Lightweight,win,KO/TKO
UFC 28: High Stakes,2000-11-17,Ben Earwood,Chris Lytle,Welterweight,win,U-DEC
UFC 28: High Stakes,2000-11-17,Mark Hughes,Alex Stiebling,Middleweight,win,U-DEC
UFC 28: High Stakes,2000-11-17,Andrei Arlovski,Aaron Brink,Heavyweight,win,SUB
UFC 29: Defense of the Belts,2000-12-16,Chuck Liddell,Jeff Monson,Middleweight,win,U-DEC
UFC 29: Defense of the Belts,2000-12-16,Dennis Hallman,Matt Hughes,Welterweight,win,SUB
UFC 29: Defense of the Belts,2000-12-16,Evan Tanner,Lance Gibson,Middleweight,win,KO/TKO
UFC 29: Defense of the Belts,2000-12-16,Fabiano Iha,Daiju Takase,Welterweight,win,KO/TKO
UFC 29: Defense of the Belts,2000-12-16,Matt Lindland,Yoji Anjo,Middleweight,win,KO/TKO
UFC 29: Defense of the Belts,2000-12-16,Pat Miletich,Kenichi Yamamoto,Welterweight,win,SUB
UFC 29: Defense of the Belts,2000-12-16,Tito Ortiz,Yuki Kondo,Middleweight,win,SUB
UFC 30: Battle on the Boardwalk,2001-02-23,Tito Ortiz,Evan Tanner,Middleweight,win,KO/TKO
UFC 30: Battle on the Boardwalk,2001-02-23,Jens Pulver,Caol Uno,Lightweight,win,U-DEC
UFC 30: Battle on the Boardwalk,2001-02-23,Fabiano Iha,Phil Johns,Welterweight,win,SUB
UFC 30: Battle on the Boardwalk,2001-02-23,Elvis Sinosic,Jeremy Horn,Middleweight,win,SUB
UFC 30: Battle on the Boardwalk,2001-02-23,Pedro Rizzo,Josh Barnett,Heavyweight,win,KO/TKO
UFC 30: Battle on the Boardwalk,2001-02-23,Phil Baroni,Curtis Stout,Middleweight,win,U-DEC
UFC 30: Battle on the Boardwalk,2001-02-23,Sean Sherk,Tiki Ghosn,Welterweight,win,SUB
UFC 31: Locked and Loaded,2001-05-04,Tony DeSouza,Steve Berger,Welterweight,win,U-DEC
UFC 31: Locked and Loaded,2001-05-04,BJ Penn,Joey Gilbert,Lightweight,win,KO/TKO
UFC 31: Locked and Loaded,2001-05-04,Matt Lindland,Ricardo Almeida,Light Heavyweight,win,DQ
UFC 31: Locked and Loaded,2001-05-04,Semmy Schilt,Pete Williams,Heavyweight,win,KO/TKO
UFC 31: Locked and Loaded,2001-05-04,Shonie Carter,Matt Serra,Welterweight,win,KO/TKO
UFC 31: Locked and Loaded,2001-05-04,Chuck Liddell,Kevin Randleman,Light Heavyweight,win,KO/TKO
UFC 31: Locked and Loaded,2001-05-04,Carlos Newton,Pat Miletich,Welterweight,win,SUB
UFC 31: Locked and Loaded,2001-05-04,Randy Couture,Pedro Rizzo,Heavyweight,win,U-DEC
UFC 32: Showdown in the Meadowlands,2001-06-29,Tito Ortiz,Elvis Sinosic,Light Heavyweight,win,KO/TKO
UFC 32: Showdown in the Meadowlands,2001-06-29,BJ Penn,Din Thomas,Lightweight,win,KO/TKO
UFC 32: Showdown in the Meadowlands,2001-06-29,Josh Barnett,Semmy Schilt,Heavyweight,win,SUB
UFC 32: Showdown in the Meadowlands,2001-06-29,Pat Miletich,Shonie Carter,Welterweight,win,KO/TKO
UFC 32: Showdown in the Meadowlands,2001-06-29,Caol Uno,Fabiano Iha,Lightweight,win,KO/TKO
UFC 32: Showdown in the Meadowlands,2001-06-29,Vladimir Matyushenko,Yuki Kondo,Light Heavyweight,win,U-DEC
UFC 32: Showdown in the Meadowlands,2001-06-29,Ricco Rodriguez,Andrei Arlovski,Heavyweight,win,KO/TKO
UFC 32: Showdown in the Meadowlands,2001-06-29,Tony DeSouza,Paul Rodriguez,Welterweight,win,SUB
